employee_id,department,sub-department,first_level_manager,second_level_manager,third_level_manager,fourth_level_manager,job_level,gender,sexual_orientation,race,age,education,location,location_city,marital_status,employment_status,salary,hire_date,term_date,tenure,term_type,term_reason,active_status
4566010041,Sales,Business Development,2169536929,12104572130,,,Manager,Male,Heterosexual,Caucasian,32,Bachelor's degree,Remote,San Jose,Married,Full Time,101989,2017-06-28,,68,,,1
7563277100,Software,Technical Support,9617891304,2870084555,9368442131,12104572130,Individual Contributor,Male,Heterosexual,Caucasian,26,Bachelor's degree,Remote,Chicago,Single,Full Time,98059,2012-05-27,,130,,,1
901750037,Finance,Accounting,9453398201,8876294130,3225775822,12104572130,Individual Contributor,Male,Heterosexual,Caucasian,26,Bachelor's degree,Remote,Austin,Married,Full Time,65444,2017-02-12,,72,,,1
5969184373,Marketing,Public Relations,1486955622,4057075270,2813655685,12104572130,Individual Contributor,Female,Heterosexual,Caucasian,40,Bachelor's degree,Remote,Seattle,Single,Full Time,90060,2020-06-27,,31,,,1
3294917953,Software,QA,9606060417,6220406640,2107182373,12104572130,Individual Contributor,Female,Heterosexual,African American,41,Bachelor's degree,Remote,San Antonio,Single,Full Time,56973,2014-09-08,,102,,,1
9733816619,Finance,Financial Planning,823014046,6711801205,5312370235,12104572130,Individual Contributor,Female,Heterosexual,Other,41,Master's degree,Remote,Indianapolis,Single,Full Time,59564,2014-03-31,,107,,,1
1363350907,Software,Technical Support,4422482610,3331241071,6268712051,12104572130,Individual Contributor,Male,Heterosexual,African American,38,Bachelor's degree,On-site,Los Angeles,Single,Full Time,72231,2019-08-04,,42,,,1
8079838913,HR,Training,2010047725,977946997,3315940256,12104572130,Individual Contributor,Female,Heterosexual,Caucasian,38,Bachelor's degree,Remote,Washington DC,Single,Full Time,54679,2018-03-21,,59,,,1
8456966186,Administration,Facilities,8834412962,4096113579,8652820129,12104572130,Individual Contributor,Female,Heterosexual,Caucasian,24,Bachelor's degree,Remote,Washington DC,Single,Full Time,56138,2017-07-17,2019-06-20,23,Voluntary,More flexible benefits,0
2266152100,Procurement,Vendor Management,5226775059,1055062301,3570683418,12104572130,Individual Contributor,Female,Heterosexual,Caucasian,40,Bachelor's degree,Remote,Fort Worth,Single,Full Time,64551,2015-04-14,,95,,,1
8328659927,Software,Software Development,7941658615,5942974370,12104572130,,Team Lead,Male,Heterosexual,Caucasian,40,Bachelor's degree,Remote,Houston,Single,Full Time,107769,2014-05-19,,106,,,1
1484772968,HR,Training,5620591359,8109055229,8421163041,12104572130,Individual Contributor,Female,Heterosexual,Caucasian,23,Bachelor's degree,Remote,San Diego,Single,Full Time,70340,2012-07-13,2014-05-10,22,Voluntary,Found a better opportunity,0
7563213954,Software,Technical Support,3808094939,637102865,21007178,12104572130,Individual Contributor,Female,Heterosexual,Caucasian,33,Bachelor's degree,Remote,San Francisco,Single,Full Time,86571,2016-01-29,,85,,,1
3979316673,Marketing,Public Relations,7893246372,4790098732,9743222543,12104572130,Individual Contributor,Male,Heterosexual,Other,43,Bachelor's degree,Remote,Jacksonville,Married,Full Time,74339,2021-02-02,,24,,,1
429498919,Marketing,Marketing Research,8258486776,860076941,4092540016,12104572130,Individual Contributor,Female,Heterosexual,Caucasian,29,Bachelor's degree,Remote,Seattle,Single,Full Time,86090,2013-11-01,2015-10-05,23,Voluntary,Found a better opportunity,0
1272988056,HR,Benefits,4930496475,7870535481,12104572130,,Team Lead,Female,Heterosexual,Caucasian,27,Bachelor's degree,Remote,Washington DC,Single,Full Time,75647,2012-03-18,,132,,,1
8449104790,Marketing,Advertising,3307450964,2813655685,12104572130,,Team Lead,Male,Heterosexual,Caucasian,29,Bachelor's degree,Remote,Philadelphia,Single,Full Time,82575,2019-07-24,,43,,,1
5110366685,Legal,Litigation,8808926609,2591261030,12104572130,,Team Lead,Male,Heterosexual,Caucasian,29,Bachelor's degree,Remote,San Antonio,Married,Full Time,96144,2019-07-30,,42,,,1
3664844848,Sales,Sales Operations,12104572130,,,,Director,Male,Heterosexual,Caucasian,30,Bachelor's degree,Remote,Phoenix,Single,Full Time,111400,2016-10-07,,77,,,1
6031372453,HR,Training,5221215448,1885370993,5940412697,12104572130,Individual Contributor,Female,Heterosexual,Caucasian,29,Master's degree,On-site,Dallas,Single,Full Time,59890,2013-05-09,,118,,,1
7465579576,Software,QA,2365847572,1900946112,1327507817,12104572130,Individual Contributor,Male,Heterosexual,Caucasian,21,Bachelor's degree,On-site,San Francisco,Single,Full Time,101128,2015-01-28,,97,,,1
9293014412,Software,QA,6851422667,3902693036,12104572130,,Team Lead,Female,Heterosexual,Caucasian,29,Bachelor's degree,Remote,Chicago,Single,Full Time,93019,2018-09-30,,53,,,1
5886351040,Administration,Executive Assistants,6216076748,4609895564,1055389029,12104572130,Individual Contributor,Female,Heterosexual,Caucasian,32,Bachelor's degree,Remote,Houston,Married,Full Time,55464,2019-02-13,,48,,,1
2015715664,Software,QA,5912824385,8910285795,6268712051,12104572130,Individual Contributor,Male,Heterosexual,Caucasian,30,Bachelor's degree,Remote,Austin,Single,Full Time,104135,2021-04-07,,22,,,1
6778214901,Operations,Logistics,4398475173,9490565071,1740357466,12104572130,Individual Contributor,Female,Heterosexual,Caucasian,33,Master's degree,On-site,San Francisco,Single,Full Time,59776,2020-06-14,,32,,,1
9314042584,Software,Technical Support,777501422,9322200876,1327507817,12104572130,Individual Contributor,Male,Heterosexual,Caucasian,30,Bachelor's degree,Remote,Washington DC,Married,Full Time,88313,2013-04-14,,119,,,1
9446851865,Operations,Logistics,1927101441,2308855907,1740357466,12104572130,Individual Contributor,Female,Heterosexual,Asian,24,Bachelor's degree,Remote,Philadelphia,Single,Full Time,59831,2021-12-28,,13,,,1
2355096800,Software,Software Development,4152298519,7496509791,5959242695,12104572130,Individual Contributor,Male,Heterosexual,Caucasian,34,Bachelor's degree,Remote,Denver,Single,Full Time,94549,2019-11-24,,39,,,1
5812269282,Legal,Litigation,7498405488,1490361837,5930096966,12104572130,Individual Contributor,Female,Gay,Caucasian,27,Bachelor's degree,On-site,Los Angeles,Married,Full Time,110099,2016-02-25,2018-01-14,23,Voluntary,Relocation,0
