employee_id,department,sub-department,first_level_manager,second_level_manager,third_level_manager,fourth_level_manager,job_level,gender,sexual_orientation,race,age,education,location,location_city,marital_status,employment_status,salary,hire_date,term_date,years_of_service,term_type,term_reason,Employee Status
4566010041,11,11.2,2169536929,12104572130,,,Manager,Male,Heterosexual,Caucasian,32,Bachelor's degree,Remote,San Jose,Married,Full Time,101989,6/28/17,0,5,0,0,0
7563277100,12,12.3,9617891304,2870084555,9368442131,12104572130,Individual Contributor,Male,Heterosexual,Caucasian,26,Bachelor's degree,Remote,Chicago,Single,Full Time,98059,5/27/12,0,10,0,0,0
901750037,3,3.1,9453398201,8876294130,3225775822,12104572130,Individual Contributor,Male,Heterosexual,Caucasian,26,Bachelor's degree,Remote,Austin,Married,Full Time,65444,2/12/17,0,5,0,0,0
5969184373,6,6.3,1486955622,4057075270,2813655685,12104572130,Individual Contributor,Female,Heterosexual,Caucasian,40,Bachelor's degree,Remote,Seattle,Single,Full Time,90060,6/27/20,0,2,0,0,0
3294917953,12,12.1,9606060417,6220406640,2107182373,12104572130,Individual Contributor,Female,Heterosexual,African American,41,Bachelor's degree,Remote,San Antonio,Single,Full Time,56973,9/8/14,0,8,0,0,0
9733816619,3,3.3,823014046,6711801205,5312370235,12104572130,Individual Contributor,Female,Heterosexual,Other,41,Master's degree,Remote,Indianapolis,Single,Full Time,59564,3/31/14,0,8,0,0,0
1363350907,12,12.3,4422482610,3331241071,6268712051,12104572130,Individual Contributor,Male,Heterosexual,African American,38,Bachelor's degree,On-site,Los Angeles,Single,Full Time,72231,8/4/19,0,3,0,0,0
8079838913,4,4.3,2010047725,977946997,3315940256,12104572130,Individual Contributor,Female,Heterosexual,Caucasian,38,Bachelor's degree,Remote,Washington DC,Single,Full Time,54679,3/21/18,0,4,0,0,0
8456966186,0,0.1,8834412962,4096113579,8652820129,12104572130,Individual Contributor,Female,Heterosexual,Caucasian,24,Bachelor's degree,Remote,Washington DC,Single,Full Time,56138,7/17/17,6/20/19,1,Voluntary,More flexible benefits,1
2266152100,8,8.3,5226775059,1055062301,3570683418,12104572130,Individual Contributor,Female,Heterosexual,Caucasian,40,Bachelor's degree,Remote,Fort Worth,Single,Full Time,64551,4/14/15,0,7,0,0,0
8328659927,12,12.2,7941658615,5942974370,12104572130,,Team Lead,Male,Heterosexual,Caucasian,40,Bachelor's degree,Remote,Houston,Single,Full Time,107769,5/19/14,0,8,0,0,0
1484772968,4,4.3,5620591359,8109055229,8421163041,12104572130,Individual Contributor,Female,Heterosexual,Caucasian,23,Bachelor's degree,Remote,San Diego,Single,Full Time,70340,7/13/12,5/10/14,1,Voluntary,Found a better opportunity,1
7563213954,12,12.3,3808094939,637102865,21007178,12104572130,Individual Contributor,Female,Heterosexual,Caucasian,33,Bachelor's degree,Remote,San Francisco,Single,Full Time,86571,1/29/16,0,6,0,0,0
3979316673,6,6.3,7893246372,4790098732,9743222543,12104572130,Individual Contributor,Male,Heterosexual,Other,43,Bachelor's degree,Remote,Jacksonville,Married,Full Time,74339,2/2/21,0,1,0,0,0
429498919,6,6.2,8258486776,860076941,4092540016,12104572130,Individual Contributor,Female,Heterosexual,Caucasian,29,Bachelor's degree,Remote,Seattle,Single,Full Time,86090,11/1/13,10/5/15,1,Voluntary,Found a better opportunity,1
1272988056,4,4.1,4930496475,7870535481,12104572130,,Team Lead,Female,Heterosexual,Caucasian,27,Bachelor's degree,Remote,Washington DC,Single,Full Time,75647,3/18/12,0,10,0,0,0
8449104790,6,6.1,3307450964,2813655685,12104572130,,Team Lead,Male,Heterosexual,Caucasian,29,Bachelor's degree,Remote,Philadelphia,Single,Full Time,82575,7/24/19,0,3,0,0,0
