Employee ID,Department,Department Area,Degree of Leadership,Gender,Sexual Orientation,Race,Age,Education,Work Environment,City,Marital Status,Full-Time or Contract,Salary,Hire Date,Termination Date,Years of Service,Termination Type,Termination Reason,Employee Status,JobSatisfaction,WorkLifeBalance,YearsSinceLastPromotion,PerformanceRating
4566010041,11,11.2,0,0,0,0,32,1,0,18,1,0,2,6/28/17,0,5,0,0,0,4,1,0,3
7563277100,12,12.3,1,0,0,0,26,1,0,3,0,0,2,5/27/12,0,10,0,0,0,2,3,1,4
901750037,3,3.1,1,0,0,0,26,1,0,0,1,0,0,2/12/17,0,5,0,0,0,3,3,0,3
5969184373,6,6.3,1,1,0,0,40,1,0,19,0,0,2,6/27/20,0,2,0,0,0,3,3,0,3
3294917953,12,12.1,1,1,0,1,41,1,0,15,0,0,0,9/8/14,0,8,0,0,0,2,3,2,3
9733816619,3,3.3,1,1,0,2,41,2,0,9,0,0,0,3/31/14,0,8,0,0,0,4,2,3,3
1363350907,12,12.3,1,0,0,1,38,1,1,11,0,0,1,8/4/19,0,3,0,0,0,1,2,0,4
8079838913,4,4.3,1,1,0,0,38,1,0,20,0,0,0,3/21/18,0,4,0,0,0,3,3,0,4
8456966186,0,0.1,1,1,0,0,24,1,0,20,0,0,0,7/17/17,6/20/19,1,1,1.4,1,3,3,1,4
2266152100,8,8.3,1,1,0,0,40,1,0,7,0,0,0,4/14/15,0,7,0,0,0,3,2,7,3
8328659927,12,12.2,2,0,0,0,40,1,0,8,0,0,2,5/19/14,0,8,0,0,0,2,3,0,3
1484772968,4,4.3,1,1,0,0,23,1,0,16,0,0,1,7/13/12,5/10/14,1,1,1.3,1,3,3,0,3
7563213954,12,12.3,1,1,0,0,33,1,0,17,0,0,2,1/29/16,0,6,0,0,0,3,2,4,3
3979316673,6,6.3,1,0,0,2,43,1,0,10,1,0,1,2/2/21,0,1,0,0,0,4,3,1,3
429498919,6,6.2,1,1,0,0,29,1,0,19,0,0,2,11/1/13,10/5/15,1,1,1.3,1,3,3,0,3
1272988056,4,4.1,2,1,0,0,27,1,0,20,0,0,1,3/18/12,0,10,0,0,0,1,3,4,3
8449104790,6,6.1,2,0,0,0,29,1,0,13,0,0,2,7/24/19,0,3,0,0,0,2,2,1,3
5110366685,5,5.3,2,0,0,0,29,1,0,15,1,0,2,7/30/19,0,3,0,0,0,4,2,2,3
3664844848,11,11.3,3,0,0,0,30,1,0,14,0,0,2,10/7/16,0,6,0,0,0,4,3,3,3
6031372453,4,4.3,1,1,0,0,29,2,1,5,0,0,0,5/9/13,0,9,0,0,0,4,3,1,3
7465579576,12,12.1,1,0,0,0,21,1,1,17,0,0,2,1/28/15,0,7,0,0,0,3,2,1,3
9293014412,12,12.1,2,1,0,0,29,1,0,3,0,0,2,9/30/18,0,4,0,0,0,1,3,1,4
5886351040,0,0.1,1,1,0,0,32,1,0,8,1,0,0,2/13/19,0,3,0,0,0,2,3,0,3
2015715664,12,12.1,1,0,0,0,30,1,0,0,0,0,2,4/7/21,0,1,0,0,0,4,3,1,3
6778214901,7,7.1,1,1,0,0,33,2,1,17,0,0,0,6/14/20,0,2,0,0,0,1,3,2,3
9314042584,12,12.3,1,0,0,0,30,1,0,20,1,0,2,4/14/13,0,9,0,0,0,3,2,4,3
9446851865,7,7.1,1,1,0,3,24,1,0,13,0,0,0,12/28/21,0,1,0,0,0,1,3,0,4
2355096800,12,12.2,1,0,0,0,34,1,0,6,0,0,2,11/24/19,0,3,0,0,0,2,3,1,3
5812269282,5,5.3,1,1,1,0,27,1,1,11,1,0,2,2/25/16,1/14/18,1,1,1.6,1,4,3,0,3
3132750951,4,4.2,1,0,0,0,31,1,0,9,0,0,2,11/13/16,9/27/18,1,1,1.4,1,1,2,0,3
9145057655,0,0.2,1,1,0,1,43,1,0,10,0,0,0,11/22/16,11/4/20,3,1,1.1,1,4,3,2,3
5177520760,9,9.2,1,1,0,2,43,1,0,16,0,0,1,9/15/12,0,10,0,0,0,4,4,1,3
2381135998,12,12.3,1,1,0,4,22,1,1,17,0,0,2,10/22/16,0,6,0,0,0,3,3,1,3
6070507973,12,12.2,2,1,0,0,35,1,0,4,0,0,2,4/14/16,0,6,0,0,0,4,4,0,3
6074908055,12,12.3,1,0,0,0,57,1,1,17,1,0,1,11/7/20,0,2,0,0,0,4,2,2,3
5717192834,7,7.1,2,0,0,3,26,1,0,7,0,0,2,8/10/16,0,6,0,0,0,3,2,1,3
3455600620,8,8.2,1,1,0,0,39,1,1,11,1,0,0,5/19/17,5/10/18,0,1,1.1,1,3,3,0,3
8293368222,1,1.1,1,0,0,1,30,1,0,13,0,0,0,6/19/15,0,7,0,0,0,4,3,2,3
302596366,3,3.3,1,1,0,0,39,1,0,1,0,0,2,1/23/21,0,1,0,0,0,1,4,0,3
1945615990,10,10.1,1,1,0,0,26,0,0,0,0,0,1,1/11/18,0,4,0,0,0,1,3,2,3
1207731538,12,12.2,1,0,0,0,39,1,0,7,0,0,2,3/12/16,0,6,0,0,0,4,3,0,3
5087862989,9,9.2,1,0,0,0,29,1,1,11,0,0,2,8/8/20,0,2,0,0,0,1,3,0,3
719280514,12,12.2,2,0,0,0,29,1,1,11,0,0,2,9/30/14,0,8,0,0,0,3,2,0,3
4088627994,1,1.3,1,1,0,0,32,1,1,11,0,0,0,10/24/14,0,8,0,0,0,3,3,1,3
5559805143,4,4.1,1,1,0,0,41,1,0,13,0,0,2,3/30/20,0,2,0,0,0,4,3,1,4
6427392326,7,7.1,1,0,0,0,42,1,1,5,0,1,0,10/5/12,0,10,0,0,0,3,3,5,3
5635019266,1,1.1,1,0,0,0,32,1,0,9,0,0,0,10/28/12,8/8/13,0,1,1.4,1,3,3,0,4
3419666888,11,11.1,1,0,0,0,41,1,0,4,0,0,0,11/22/17,0,5,0,0,0,2,3,0,4
4195059968,4,4.2,1,1,0,5,43,2,0,2,0,0,0,11/2/15,10/15/16,0,1,1.5,1,4,3,0,4
4189971085,1,1.1,1,0,0,0,31,1,0,5,0,0,0,3/18/17,3/8/19,1,1,1.5,1,4,3,0,3
1706457525,7,7.3,1,0,0,3,31,1,0,18,0,0,0,10/4/20,0,2,0,0,0,3,3,0,3
4122711408,12,12.2,1,0,0,0,37,2,0,15,1,0,2,10/14/12,0,10,0,0,0,3,2,2,3
3574465663,8,8.2,2,1,0,0,34,1,0,16,0,0,1,8/10/17,0,5,0,0,0,1,2,1,4
1936365666,9,9.1,1,0,0,0,42,1,0,8,0,0,2,12/31/20,0,2,0,0,0,1,3,2,3
4426824972,7,7.3,1,1,0,0,23,1,0,15,0,0,1,12/8/21,0,1,0,0,0,4,2,0,3
7745482795,12,12.1,1,1,0,0,27,2,0,5,1,0,2,11/17/18,0,4,0,0,0,4,3,3,3
4498722283,7,7.3,1,0,0,0,30,1,0,12,0,0,0,5/23/13,0,9,0,0,0,1,2,1,4
4623302049,12,12.1,1,1,0,0,58,2,0,2,1,0,2,1/26/19,0,3,0,0,0,1,3,0,3
9869319592,10,10.1,1,0,0,0,32,1,0,17,1,0,1,10/24/14,0,8,0,0,0,4,2,1,4
6721370239,1,1.3,1,0,0,0,25,1,1,11,0,0,0,11/24/15,0,7,0,0,0,3,4,2,3
3652985215,4,4.2,3,0,0,0,37,1,0,3,0,0,2,4/12/20,3/4/21,0,1,1.6,1,4,3,0,4
1979347392,11,11.2,1,1,0,0,30,1,0,2,0,0,2,7/10/20,0,2,0,0,0,4,3,1,3
4455700470,0,0.2,1,0,0,0,39,1,1,11,0,0,0,2/23/14,0,8,0,0,0,3,2,2,3
425311703,0,0.2,1,0,0,3,50,1,0,18,1,0,1,12/21/19,0,3,0,0,0,1,2,1,3
8145688855,8,8.2,1,0,0,0,37,2,0,7,0,0,0,3/21/12,0,10,0,0,0,3,3,1,3
2114631381,3,3.2,1,1,0,0,48,2,0,9,1,0,1,2/23/18,0,4,0,0,0,3,3,0,3
