Emp. ID,Department,Position,Gender,Sexual Orientation,Race,Age,Education,Working Location,City,Marital Status,Emp. Type,Salary,Years of Service,Status,Job Satisfaction,Work Life Balance,Years Since Last Promotion,Performance Rating,Hire Year,Term Year
4566010041,11,0,0,0,0,32,1,0,4,1,0,2,5,0,4,1,0,3,2017,0
7563277100,12,1,0,0,0,26,1,0,2,0,0,2,10,0,2,3,1,4,2012,0
901750037,3,1,0,0,0,26,1,0,3,1,0,0,5,0,3,3,0,3,2017,0
5969184373,6,1,1,0,0,40,1,0,4,0,0,2,2,0,3,3,0,3,2020,0
3294917953,12,1,1,0,1,41,1,0,3,0,0,0,8,0,2,3,2,3,2014,0
9733816619,3,1,1,0,2,41,2,0,1,0,0,0,8,0,4,2,3,3,2014,0
1363350907,12,1,0,0,1,38,1,1,4,0,0,1,3,0,1,2,0,4,2019,0
8079838913,4,1,1,0,0,38,1,0,0,0,0,0,4,0,3,3,0,4,2018,0
8456966186,0,1,1,0,0,24,1,0,0,0,0,0,1,1,3,3,1,4,2017,2019
2266152100,8,1,1,0,0,40,1,0,3,0,0,0,7,0,3,2,7,3,2015,0
8328659927,12,2,0,0,0,40,1,0,3,0,0,2,8,0,2,3,0,3,2014,0
1484772968,4,1,1,0,0,23,1,0,4,0,0,1,1,1,3,3,0,3,2012,2014
7563213954,12,1,1,0,0,33,1,0,4,0,0,2,6,0,3,2,4,3,2016,0
3979316673,6,1,0,0,2,43,1,0,1,1,0,1,1,0,4,3,1,3,2021,0
429498919,6,1,1,0,0,29,1,0,4,0,0,2,1,1,3,3,0,3,2013,2015
1272988056,4,2,1,0,0,27,1,0,0,0,0,1,10,0,1,3,4,3,2012,0
8449104790,6,2,0,0,0,29,1,0,0,0,0,2,3,0,2,2,1,3,2019,0
5110366685,5,2,0,0,0,29,1,0,3,1,0,2,3,0,4,2,2,3,2019,0
3664844848,11,3,0,0,0,30,1,0,3,0,0,2,6,0,4,3,3,3,2016,0
6031372453,4,1,1,0,0,29,2,1,3,0,0,0,9,0,4,3,1,3,2013,0
7465579576,12,1,0,0,0,21,1,1,4,0,0,2,7,0,3,2,1,3,2015,0
9293014412,12,2,1,0,0,29,1,0,2,0,0,2,4,0,1,3,1,4,2018,0
5886351040,0,1,1,0,0,32,1,0,3,1,0,0,3,0,2,3,0,3,2019,0
2015715664,12,1,0,0,0,30,1,0,3,0,0,2,1,0,4,3,1,3,2021,0
6778214901,7,1,1,0,0,33,2,1,4,0,0,0,2,0,1,3,2,3,2020,0
